label,message
social,"Yo Lerato, you coming to UJ Library this on Heritage Day?"
ham,Important: UP class cancellations on next Friday. Check emails.
social,"Yo Lerato, you coming to Menlyn this on Heritage Day?"
social,Hey! Let's catch up after work at Menlyn. Been too long! Themba
spam,Guaranteed exam help! Send your module code and we’ll sort you out. Msg +27631234567 now.
promotional,This weekend only: back-to-school at Woolworths stores near Pretoria.
ham,Rhodes reminder: Your tutorial is scheduled for this weekend. Check your student portal.
social,Miss you! Let's link up this weekend near Nandos. Lerato
promotional,Save big at Vodacom Cape Town. BOGO ends 31 May.
promotional,This weekend only: back-to-school at Shoprite stores near Durban.
ham,Important: NWU class cancellations on next Friday. Check emails.
promotional,Shop now at MTN Durban for BOGO till tomorrow!
social,"Got plans for after work? Join us at Nandos. Cheers, Themba"
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27600012345.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27765432100.
ham,Campus update from UP: tutorial changes for end of month. Stay informed.
spam,Guaranteed exam help! Send your module code and we’ll sort you out. Msg +27831234567 now.
ham,Don't forget your class at UCT on this weekend. All the best!
social,"Got plans for after work? Join us at Gold Reef. Cheers, Zinhle"
promotional,Exclusive offer from Pick n Pay: weekend available now in Soweto!
ham,Stellenbosch: Fee payment deadline is 31 May. Please pay promptly.
social,"Yo Sipho, you coming to Gold Reef this this Saturday?"
spam,Ace your UNISA modules! Assignments and past paper answers available. Msg +27631234567 for pricing.
promotional,Exclusive offer from Woolworths: special available now in Soweto!
promotional,Exclusive offer from Capitec: BOGO available now in Polokwane!
promotional,Exclusive offer from Checkers: back-to-school available now in Pretoria!
social,Miss you! Let's link up this weekend near UJ Library. Sipho
social,Hey! Let's catch up after work at Gold Reef. Been too long! Tasha
ham,UKZN reminder: Your res meeting is scheduled for today. Check your student portal.
ham,UJ reminder: Your exam is scheduled for next Friday. Check your student portal.
promotional,Don't miss out! Vodacom has a weekend deal at Durban until end of month.
social,"Got plans for this weekend? Join us at UJ Library. Cheers, Sipho"
promotional,Exclusive offer from Vodacom: weekend available now in Polokwane!
ham,Stellenbosch: Fee payment deadline is 31 May. Please pay promptly.
social,"Got plans for during lunch? Join us at Menlyn. Cheers, Lerato"
ham,Rhodes: Fee payment deadline is next Friday. Please pay promptly.
social,"Yo Themba, you coming to Gautrain this on Heritage Day?"
spam,Congrats! You've won a NSFAS Grant. Contact +27765432100 to claim your prize.
spam,Ace your UNISA modules! Assignments and past paper answers available. Msg +27765432100 for pricing.
social,"Yo Sipho, you coming to Gautrain this on Heritage Day?"
promotional,Exclusive offer from Shoprite: 50% off available now in Sandton!
social,Howzit? Meeting at Gold Reef this after work? Let me know. Zinhle
promotional,Shop now at Capitec Sandton for limited-time till end of month!
promotional,Shop now at Vodacom Sandton for limited-time till today!
spam,Exam stress? Get the answers in advance! Affordable & reliable. DM me on WhatsApp +27631234567.
